Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
how to change photo dimensions,1,1,140,53,1.14,https://www.canva.com/features/image-resizer/,4,0,4.00,0.39,158000000,"[2,0,0,13,0,2,1,1,0,2,0,3]",2025-08-07,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
how do you resize a picture in photoshop,1,1,170,47,0.85,https://www.canva.com/features/image-resizer/,0,0,0.00,0.03,2260000,"[43,43,35,35,22,29,29,22,8,22,66,35]",2025-08-18,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
resizing for web,1,1,70,80,0.00,https://www.canva.com/features/image-resizer/,2,0,0.00,0.09,39900000,"[35,28,12,17,5,17,17,23,23,23,5,5]",2025-08-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
canva photo resize,1,1,110,37,0.00,https://www.canva.com/features/image-resizer/,88,0.18,0.00,0,19600000,"[2,2,2,2,2,2,2,2,2,2,2,100]",2025-08-21,"Image pack, Sitelinks, Video, Related searches",informational,Organic
scale photo size,1,1,40,81,0.00,https://www.canva.com/features/image-resizer/,1,0,0.00,0,717000000,"[11,11,11,11,100,41,11,11,11,11,11,0]",2025-08-29,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",People also ask
how do i shrink a photo,1,1,140,80,0.97,https://www.canva.com/features/image-resizer/,3,0,2.00,0.51,168000000,"[43,28,28,35,23,53,35,100,23,28,23,35]",2025-08-26,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,People also ask
how can i resize a photo on my iphone,1,1,110,28,0.93,https://www.canva.com/features/image-resizer/,4,0,3.00,0.38,72600000,"[33,52,42,52,33,66,42,52,19,42,100,52]",2025-08-25,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,People also ask
how can i resize my photo,1,1,50,68,0.96,https://www.canva.com/features/image-resizer/,3,0,2.00,0.58,556000000,"[45,45,45,45,36,63,18,100,45,45,63,63]",2025-08-19,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
easiest way to resize photos,1,1,50,44,1.33,https://www.canva.com/features/image-resizer/,1,0,1.00,0.35,310000000,"[36,36,36,81,36,27,36,63,81,45,81,36]",2025-08-18,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
how do you enlarge a photo without losing quality,1,1,140,44,1.44,https://www.canva.com/features/image-resizer/,3,0,4.00,0.53,20900000,"[43,35,35,29,18,29,18,22,14,18,35,35]",2025-08-19,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
how to increase the pixels of an image,1,1,140,43,1.55,https://www.canva.com/features/image-resizer/,2,0,3.00,0.72,115000000,"[34,34,42,53,34,42,65,26,80,53,80,53]",2025-08-16,"Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle, AI overview",informational,People also ask
app to make photos smaller,1,1,40,53,1.15,https://www.canva.com/features/image-resizer/,0,0,0.00,0.68,135000000,"[15,15,7,7,53,26,0,15,15,15,15,11]",2025-08-19,"Sitelinks, Video, People also ask, Related searches, Discussions and forums",transactional,People also ask
how do you change the mb size of a photo,1,1,110,33,1.10,https://www.canva.com/features/image-resizer/,2,0,2.00,0.51,456000000,"[78,78,64,64,50,78,64,78,35,78,100,100]",2025-08-19,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
large size pictures,1,1,70,35,1.26,https://www.canva.com/features/image-resizer/,1,0,1.00,0.2,682000000,"[50,50,50,64,50,50,50,50,78,35,100,50]",2025-08-16,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
how to make pictures the same size,1,1,30,26,1.01,https://www.canva.com/features/image-resizer/,1,0,1.00,0.27,2340000000,"[18,18,18,18,18,18,100,18,18,18,18,18]",2025-08-11,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",informational,People also ask
how to change photo aspect ratio,1,1,90,31,0.86,https://www.canva.com/features/image-resizer/,1,0,0.00,0.27,276000000,"[78,35,50,50,35,100,78,64,64,78,64,35]",2025-08-11,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
change image to 4080 x 3060 pixels online,1,1,170,35,0.00,https://www.canva.com/features/image-resizer/,3,0,0.00,0,17,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-15,"Image pack, Related searches, AI overview",informational,AI overview
how can we resize the image,1,1,2400,67,1.05,https://www.canva.com/features/image-resizer/,83,0.17,87.00,0.26,855000000,"[16,35,29,23,3,2,1,0,2,100,54,54]",2025-08-28,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
how can we resize the image,1,1,2400,67,1.05,https://www.canva.com/features/image-resizer/,98,0.21,102.00,0.26,855000000,"[16,35,29,23,3,2,1,0,2,100,54,54]",2025-08-28,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how to change a photos pixel size,1,1,40,42,1.24,https://www.canva.com/features/image-resizer/,0,0,0.00,0.42,167000000,"[5,0,0,0,100,0,0,0,0,0,0,0]",2025-08-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how to resize a photo,1,1,1000,57,0.93,https://www.canva.com/features/image-resizer/,5,0.01,4.00,0.43,780000000,"[20,66,54,54,54,13,36,36,41,36,41,36]",2025-08-28,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
how do i shrink an image,1,1,110,58,0.85,https://www.canva.com/features/image-resizer/,3,0,2.00,0.36,173000000,"[64,52,41,52,41,82,52,82,41,100,100,100]",2025-08-26,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
how do i make a image smaller,1,1,90,35,0.75,https://www.canva.com/features/image-resizer/,0,0,0.00,0.4,649000000,"[0,0,100,0,0,0,0,0,0,0,0,0]",2025-08-15,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
how do i make a image smaller,1,1,90,35,0.75,https://www.canva.com/features/image-resizer/,2,0,1.00,0.4,649000000,"[0,0,100,0,0,0,0,0,0,0,0,0]",2025-08-15,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how to make a photo smaller,1,1,1600,37,0.83,https://www.canva.com/features/image-resizer/,8,0.01,6.00,0.42,334000000,"[44,65,34,55,55,65,44,44,44,44,65,34]",2025-08-26,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
how to change size of image,1,1,480,48,1.12,https://www.canva.com/features/image-resizer/,2,0,2.00,0.41,3720000000,"[55,36,55,16,30,55,76,36,13,45,1,8]",2025-08-25,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
how to downsize photos,1,1,40,38,0.92,https://www.canva.com/features/image-resizer/,1,0,0.00,0.38,23600000,"[100,0,0,0,0,0,0,0,10,35,0,0]",2025-08-07,"Sitelinks, Video, Related searches, AI overview",informational,AI overview
how to resize my photo,1,1,70,64,0.96,https://www.canva.com/features/image-resizer/,2,0,1.00,0.58,568000000,"[45,45,45,63,63,63,18,100,63,63,63,63]",2025-08-19,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
canva resizer,1,1,40,46,0.00,https://www.canva.com/features/image-resizer/,32,0.06,0.00,0,1190000,"[0,0,0,2,0,0,0,0,21,5,14,3]",2025-08-09,"Image pack, Video, People also ask, Related searches","informational, transactional",Organic
how to make pictures 1 1,1,1,40,33,0.75,https://www.canva.com/features/image-resizer/,1,0,0.00,0.31,1400000000,"[100,14,50,14,28,14,14,50,14,14,14,14]",2025-08-26,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,AI overview
just for picture size,1,1,90,58,0.00,https://www.canva.com/features/image-resizer/,5,0.01,0.00,0,2370000000,"[1,1,1,1,8,1,8,8,8,8,13,13]",2025-08-28,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
just for picture size,1,1,90,58,0.00,https://www.canva.com/features/image-resizer/,0,0,0.00,0,2370000000,"[1,1,1,1,8,1,8,8,8,8,13,13]",2025-08-28,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
canva image resizer,1,1,880,39,0.00,https://www.canva.com/features/image-resizer/,704,1.51,0.00,0,656000,"[7,16,3,7,1,8,4,41,79,79,100,100]",2025-08-23,"Image pack, Video, Related searches",informational,Organic
change size of photos,1,1,210,84,0.86,https://www.canva.com/features/image-resizer/,6,0.01,5.00,0.2,2140000000,"[4,2,4,5,23,5,23,15,100,67,29,7]",2025-08-31,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
change size of photos,1,1,210,84,0.86,https://www.canva.com/features/image-resizer/,0,0,0.00,0.2,2140000000,"[4,2,4,5,23,5,23,15,100,67,29,7]",2025-08-31,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
how to shrink a picture in paint,1,1,390,29,0.00,https://www.canva.com/features/image-resizer/,8,0.01,0.00,0,7980000,"[29,36,23,36,19,29,15,100,23,100,100,54]",2025-08-23,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how to make an image small,1,1,50,53,0.75,https://www.canva.com/features/image-resizer/,3,0,2.00,0.4,5880000000,"[19,0,11,19,26,42,15,15,7,26,7,19]",2025-08-10,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
how to make an image small,1,1,50,53,0.75,https://www.canva.com/features/image-resizer/,0,0,0.00,0.4,5880000000,"[19,0,11,19,26,42,15,15,7,26,7,19]",2025-08-10,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
pr canva size,1,1,210,46,0.00,https://www.canva.com/features/image-resizer/,1,0,0.00,0,358000000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how to resize images on canva,1,1,90,37,0.00,https://www.canva.com/features/image-resizer/,72,0.15,0.00,0,18300000,"[63,63,81,45,63,63,63,81,63,100,100,81]",2025-08-23,"Video, Featured snippet, Related searches",informational,Organic
how to resize an image on canva,1,1,170,35,0.00,https://www.canva.com/features/image-resizer/,136,0.29,0.00,0,17800000,"[53,42,42,53,53,53,65,65,53,80,65,100]",2025-08-11,"Video, Featured snippet, Related searches",informational,Organic
how to resize my image,1,1,70,64,0.96,https://www.canva.com/features/image-resizer/,0,0,0.00,0.58,626000000,"[63,81,45,63,45,45,18,100,45,63,81,100]",2025-08-19,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,AI overview
